keyword,total_count,pass_count,pass_rate,bayesian_pass_rate,lift,p_value,is_significant,frequency
上海,6478,523,0.08073479468971904,0.05993775117879578,1.4700907842554887,1.0819463774581735e-17,True,0.024135708404278703
有限公司,110658,6757,0.06106201088037015,0.059862732449004676,1.1118712793948757,1.1156698299373473e-18,True,0.41228916650211067
北京,5830,468,0.08027444253859348,0.05944309593846323,1.4617082837799154,1.3587386928790137e-15,True,0.021721392404591672
科技,13742,891,0.06483772376655508,0.058277212254724396,1.1806228101234477,6.276537666163448e-07,True,0.05119989269706668
南京,1892,185,0.09778012684989429,0.05774069936203314,1.7804673179365522,1.0387267129560247e-13,True,0.007049206591678806
分公司,4086,306,0.07488986784140969,0.05755693447886723,1.3636611695228305,9.604790450442012e-08,True,0.015223603664693237
杭州,2513,215,0.08555511341026661,0.05754116288339482,1.5578634249797931,3.2147469406855276e-10,True,0.00936292609137888
医院,2466,200,0.08110300081103,0.05712160349963659,1.4767954080515362,7.982282526865854e-08,True,0.009187813665475653
江苏,2734,211,0.07717629846378932,0.05697591457332309,1.4052945272308406,1.2923835340264716e-06,True,0.010186327072753625
股份,4891,332,0.06787977918626048,0.05691612907292261,1.236015254668462,0.00011185683853286373,True,0.01822286968282296
工程,5186,348,0.06710374084072503,0.05689145347983975,1.2218844598310554,0.00017610873670843066,True,0.01932197959008789
文化,2007,161,0.0802192326856004,0.056678533915256055,1.4607029737844275,2.981241441299256e-06,True,0.0074776731656973384
中心,2380,180,0.07563025210084033,0.056605258744896456,1.377142743121672,2.262945632572195e-05,True,0.008867395184035709
发展,2026,153,0.0755182625863771,0.056364083572658395,1.3751035386649273,0.00011210914973465147,True,0.007548463295317792
集团,7405,456,0.06158001350438893,0.05635875707039588,1.1213035308388388,0.01332848306556576,True,0.027589521570497655
劳务,1595,128,0.08025078369905957,0.05633921694818691,1.4612774826352706,2.7687281403069162e-05,True,0.005942645091822249
贸易,1984,144,0.07258064516129033,0.05613397215505188,1.32161279380225,0.0009382985917954158,True,0.007391979850893632
传播,827,79,0.09552599758162031,0.05613205671759394,1.7394221319477143,2.645924031672744e-06,True,0.003081233536637618
技术,1543,119,0.07712248865845756,0.056125343076288886,1.4043147105455462,0.00027026674179728095,True,0.005748903684439957
服务中心,884,82,0.09276018099547512,0.056124859778025456,1.689059689213333,5.629456826789645e-06,True,0.0032936039254989774
咨询,1918,140,0.072992700729927,0.056123708615719504,1.3291158672463825,0.0009157181020225758,True,0.007146077295369953
教育,1934,140,0.07238883143743537,0.05609250049524048,1.3181200793063919,0.001156838936016512,True,0.007205690036102966
中国,3155,208,0.0659270998415214,0.05607619962060217,1.2004591363883652,0.007846257346344879,True,0.011754887313291032
电气,515,58,0.11262135922330097,0.056004591499146404,2.0507096468232535,3.1295851702911404e-07,True,0.0019187850923438612
建设,3108,202,0.064993564993565,0.055963857232059676,1.183460505475431,0.016235156111125,True,0.011579774887387807
私营,1184,92,0.0777027027027027,0.0558808731118795,1.4148797627342404,0.0010972073659764607,True,0.004411342814242974
安徽,1795,126,0.0701949860724234,0.05587587175090536,1.278172596122956,0.005963143503150355,True,0.006687804350984914
业主,1117,88,0.07878245299910475,0.05587171682124985,1.434540814281324,0.0009786461911244582,True,0.004161714462423482
管理,3961,246,0.062105528906841706,0.05584252408208851,1.130872581619227,0.05071820475347913,False,0.014757879127716571
青岛,1443,105,0.07276507276507277,0.0558287870055758,1.3249710152695229,0.004538349854965838,True,0.005376324054858625
山东,2343,155,0.06615450277422108,0.05582036055361187,1.2045998907800655,0.020605457089021194,True,0.008729540721090615
商贸,3581,224,0.06255235967606813,0.055816889046675144,1.1390088727745598,0.047558249800434674,True,0.013342076535307508
学校,668,61,0.09131736526946108,0.05580215138196663,1.66278762014641,0.00012181394114092197,True,0.0024888319256032997
药业,574,55,0.09581881533101046,0.05577462528133538,1.7447540173695981,7.263890514042301e-05,True,0.0021386070737968474
健康,594,56,0.09427609427609428,0.05577041543491811,1.716662783419907,9.733308044000544e-05,True,0.0022131229997131136
科技股份,847,69,0.08146399055489964,0.05573032733892201,1.4833686296434538,0.0014569961003333015,True,0.0031557494625538843
办事处,622,56,0.09003215434083602,0.05571355223054486,1.639385359085892,0.00038731464099254256,True,0.0023174452959958867
武汉,1343,96,0.07148175725986597,0.05570753896866539,1.3016032677605676,0.00989071043452762,True,0.005003744425277293
八达,41,23,0.5609756097560976,0.05569009966184168,10.214741701691102,7.884843723526049e-19,True,0.00015275764812834624
第一,561,51,0.09090909090909091,0.055655106219138786,1.6553533982977675,0.000545564199151656,True,0.002090171721951274
有限责任,3400,209,0.06147058823529412,0.05565494594889533,1.1193110184372257,0.09753340358177279,False,0.012667707405765297
建材,1751,117,0.06681896059394632,0.05564707651735342,1.2166989283890501,0.031428316098388906,True,0.006523869313969128
天津,1429,99,0.06927921623512946,0.055644188489824505,1.2614974462885016,0.02006674346367516,True,0.005324162906717238
街道,1021,76,0.07443682664054849,0.05563352224802501,1.355411793317271,0.008848080044725419,True,0.0038040380180254024
服务,4322,259,0.05992596020360944,0.05561278355941069,1.0911850605623183,0.15101758044981342,False,0.01610289159050518
开发,906,69,0.076158940397351,0.05561182012477519,1.386769568772633,0.0068648751312647555,True,0.0033755714440068703
中学,520,47,0.09038461538461538,0.05559230845141978,1.6458032825383573,0.0009747458385998806,True,0.0019374140738229277
小学,561,49,0.0873440285204991,0.05558211591590057,1.5904375787566785,0.0015389852038218633,True,0.002090171721951274
财产保险,326,35,0.10736196319018405,0.055547579870352165,1.9549418967627008,0.0002057634172805103,True,0.0012146095924351432
常州,532,46,0.08646616541353383,0.05553140264285636,1.5744526683057711,0.0029660990872396003,True,0.0019821236293726878
医疗,585,48,0.08205128205128205,0.05549701183960561,1.494062554361062,0.006248936610673781,True,0.0021795908330507936
投资,1092,76,0.0695970695970696,0.055492107590246274,1.2672852023598293,0.039105932957586,True,0.004068569555028149
装饰,4427,261,0.05895640388524961,0.05548999101286024,1.0735305187515,0.2350228104922135,False,0.01649410020156558
设备,1184,81,0.06841216216216216,0.05548835101466962,1.2457093563203638,0.04761410191583021,True,0.004411342814242974
江苏省,518,44,0.08494208494208494,0.055486714989089074,1.5467008586411573,0.00488645087282138,True,0.0019299624812313012
浙江,2522,155,0.061459159397303724,0.05548006089524179,1.1191029120133598,0.149171050603083,False,0.0093964582580412
旅游,471,41,0.0870488322717622,0.05547235719071872,1.5850623835080533,0.004331009256877393,True,0.001754850055328075
广州,2238,139,0.06210902591599642,0.055471681242455606,1.1309362582650966,0.1374784877841658,False,0.008338332110030216
人民,1177,80,0.06796941376380629,0.055466521992083344,1.2376474005964617,0.05460835551569107,False,0.0043852622401722805
信息技术,818,60,0.07334963325183375,0.05546335766634487,1.335615211340497,0.02565192791963072,True,0.003047701369975298
建设工程,1469,96,0.0653505786249149,0.05545959044682061,1.1899613264822617,0.0854390301292391,False,0.005473194758549771
销售,1437,94,0.06541405706332637,0.055451623056275615,1.1911171982184352,0.08232707342546207,False,0.005353969277083745
管理中心,197,25,0.12690355329949238,0.055442746764606886,2.310772510314142,0.00010555730750137693,True,0.0007339818702752246
上海市,414,37,0.0893719806763285,0.05544160652236927,1.6273643311767907,0.004658623034492111,True,0.0015424796664667156
无锡市,271,29,0.1070110701107011,0.055438956286954694,1.9485525241955268,0.0006944984618084185,True,0.0010096907961654104
网络,507,42,0.08284023668639054,0.05543589949866347,1.5084285404606876,0.008311299579299623,True,0.0018889787219773546
中铁,832,60,0.07211538461538461,0.05543529717872643,1.313140916918902,0.03296091623307971,True,0.0030998625181166846
艺术,617,48,0.07779578606158834,0.05543233212780758,1.4165747071332597,0.01667695048953267,True,0.00229881631451682
无锡,729,54,0.07407407407407407,0.05542477211640653,1.3488064726870697,0.02781395177837516,True,0.0027161054996479124
智能,893,63,0.07054871220604703,0.05542153903847055,1.2846135554539224,0.046863051142458534,True,0.0033271360921612973
宁波,1183,79,0.06677937447168217,0.05541896092124655,1.2159781091468809,0.07405287030425796,False,0.004407617017947161
西双版纳,48,16,0.3333333333333333,0.05541526113976919,6.0696291270918135,2.8403608948877457e-09,True,0.00017883822219903948
国际,1745,110,0.06303724928366762,0.055413872359182645,1.1478381730316898,0.14094596001647658,False,0.006501514536194248
创意,178,23,0.12921348314606743,0.05540771118406686,2.352833762749074,0.0001722008135289826,True,0.0006631917406547714
苏州,1640,104,0.06341463414634146,0.05540749791958539,1.1547099314955158,0.1291987052048175,False,0.00611030592513385
植物园,17,14,0.8235294117647058,0.055404756319605016,14.99555431399154,1.3182686035051428e-15,True,6.333853702882649e-05
建筑,2960,177,0.0597972972972973,0.055402870479431134,1.088842252191133,0.2419616303032806,False,0.011028357035607434
卫生院,436,37,0.08486238532110092,0.055396888828599604,1.545249617218329,0.01105037084086138,True,0.0016244471849746088
成都,1808,113,0.0625,0.055396730650414165,1.1380554613297151,0.16306444957818744,False,0.006736239702830487
环保,1034,70,0.06769825918762089,0.055392320414437875,1.2327099774557841,0.07562716281032958,False,0.0038524733698709758
建筑工程,2258,137,0.060673162090345435,0.05536482014165971,1.1047907755689705,0.22962543476753922,False,0.008412848035946482
财税,55,15,0.2727272727272727,0.055363656306586004,4.966060194893302,1.8082089587399254e-07,True,0.00020491879626973275
西安,1230,80,0.06504065040650407,0.055361793237596144,1.1843178784569395,0.11776720590965174,False,0.004582729443850387
智慧,221,24,0.1085972850678733,0.05535662154621612,1.9774357337131703,0.001580613264965754,True,0.0008234009813747443
朝阳,150,20,0.13333333333333333,0.055354039844534436,2.4278516508367254,0.00022525717548399523,True,0.0005588694443719984
人寿,349,31,0.08882521489971347,0.05535347145342401,1.617408334726472,0.009179941718569722,True,0.0013003029072388497
