partner,amount,bankCardInfo.bankCode,city,companyInfo.companyName,companyInfo.industry,companyInfo.occupation,customerSource,degree,idInfo.birthDate,idInfo.gender,idInfo.nation,idInfo.validityDate,income,jobFunctions,linkmanList.0.relationship,linkmanList.1.relationship,maritalStatus,pictureInfo.0.faceScore,province,purpose,resideFunctions,term,deviceInfo.gpsLatitude,deviceInfo.gpsLongitude,deviceInfo.osType,deviceInfo.isCrossDomain,partner_label
LXJ_CODE,100000.0,102.0,商丘市,陕西省硕鑫鸿装饰有限公司,E,24.0,APP,2.0,31.9,M,汉,5571.0,3.0,1.0,PARENTS,FRIENDS,1.0,70.0,河南省,CONSUME,1.0,,35.19061103068963,107.91606082968497,ANDROID,False,0
LXJ_CODE,100000.0,102.0,黄冈市,京东快递,F,17.0,APP,2.0,29.6,M,汉,2003.0,2.0,1.0,FATHER,MOTHER,2.0,70.0,湖北省,CONSUME,2.0,,30.731657,114.585706,ANDROID,False,0
LXJ_CODE,100000.0,307.0,莆田市,紫龙珠宝有限公司,C,24.0,APP,2.0,38.9,M,汉,4127.0,2.0,1.0,PARENTS,SIBLING,1.0,70.0,福建省,CONSUME,2.0,,25.23697980383366,118.86490817457724,ANDROID,,0
AWJ_CODE,100000.0,105.0,宿迁市,刘振个人工作室,Z,90.0,XCX,3.0,37.6,M,汉,3101.0,4.0,1.0,MATE,FATHER,1.0,70.0,江苏省,CONSUME,1.0,,33.22381198587759,118.19500307608408,ANDROID,,0
YXM_CODE,,,苏州市,,,,,,,,,,,,,,,,江苏省,,,,,,,,0
LXJ_CODE,100000.0,,苏州市,孚杰集团有限公司,Z,90.0,APP,3.0,25.1,M,汉,1588.0,2.0,1.0,MOTHER,COLLEAGUE,2.0,89.779,江苏省,CONSUME,1.0,,30.921204,120.53372,ANDROID,False,0
AWJ_CODE,100000.0,307.0,开封市,北京三快科技有限公司,G,13.0,APP,3.0,36.2,M,汉,3643.0,2.0,1.0,FATHER,FRIENDS,2.0,70.0,河南省,CONSUME,1.0,,34.427468,114.198866,ANDROID,,0
AWJ_CODE,100000.0,,郑州市,河南省地质研究院,Z,90.0,XCX,4.0,42.3,M,汉,5372.0,4.0,1.0,FRIENDS,FATHER,3.0,100.0,河南省,CONSUME,1.0,,39.825022,116.282928,ANDROID,,0
AWJ_CODE,100000.0,,杭州市,杭州乐乎网络科技有限公司,Z,90.0,APP,4.0,30.1,M,汉,5979.0,4.0,1.0,FATHER,COLLEAGUE,1.0,100.0,浙江省,CONSUME,1.0,,30.347293,120.076777,ANDROID,,0
AWJ_CODE,100000.0,104.0,南通市,南通菓速生鲜,C,24.0,APP,4.0,32.2,M,汉,5668.0,2.0,1.0,FATHER,FATHER,2.0,70.0,江苏省,CONSUME,2.0,,32.001025,120.884288,ANDROID,,0
AWJ_CODE,100000.0,104.0,无锡市,申利纺织股份有限公司,C,24.0,XCX,2.0,33.5,F,汉,6039.0,3.0,1.0,PARENTS,SIBLING,2.0,77.467,江苏省,CONSUME,1.0,,31.89816479475927,120.31804977847362,ANDROID,,1
LXJ_CODE,100000.0,,新乡市,浙江金腾机械制造有限公司,C,24.0,APP,2.0,28.0,M,汉,1008.0,2.0,1.0,MATE,FRIENDS,1.0,70.0,河南省,CONSUME,1.0,,30.098514,122.229926,ANDROID,False,0
AWJ_CODE,100000.0,105.0,泉州市,吴晓瑜个人工作室,Z,90.0,XCX,4.0,42.4,F,汉,3661.0,4.0,1.0,FATHER,FATHER,1.0,89.269,福建省,CONSUME,1.0,,24.546633,118.172772,ANDROID,,0
AWJ_CODE,100000.0,102.0,宿州市,郑炜铭个人工作室,H,54.0,APP,2.0,24.2,M,汉,2023.0,3.0,1.0,RELATIVES,RELATIVES,2.0,70.0,安徽省,CONSUME,1.0,,34.19025,116.958944,ANDROID,,0
AWJ_CODE,100000.0,103.0,渭南市,蒲城县永丰镇政府,Z,90.0,XCX,4.0,36.0,M,汉,6552.0,3.0,1.0,MATE,FATHER,1.0,85.97,陕西省,CONSUME,1.0,,34.96127412878287,109.59249651068264,ANDROID,,0
LXJ_CODE,100000.0,,红河哈尼族彝族自治州,李小囡个人工作室,Z,90.0,APP,3.0,33.8,F,彝,4827.0,4.0,1.0,PARENTS,RELATIVES,2.0,70.0,云南省,CONSUME,1.0,,24.484633,103.762842,ANDROID,False,0
LXJ_CODE,100000.0,,黄山市,黄山精卫装饰工程有限公司,E,24.0,XCX,3.0,27.1,M,汉,966.0,2.0,,MATE,SIBLING,1.0,70.0,安徽省,CONSUME,1.0,,29.918724500868056,117.92151828342014,ANDROID,,0
LXJ_CODE,100000.0,,菏泽市,滕州牧原农牧有限公司,Z,90.0,APP,2.0,29.6,M,汉,1043.0,4.0,1.0,MATE,SIBLING,1.0,84.22,山东省,CONSUME,1.0,,34.916064498084225,117.35077771374004,ANDROID,,0
YXM_CODE,,,广元市,,,,,,,,,,,,,,,,四川省,,,,,,,,1
AWJ_CODE,100000.0,,松原市,盛阳食品有限公司,Z,90.0,XCX,2.0,37.7,M,汉,4478.0,3.0,1.0,FATHER,MOTHER,1.0,91.56,吉林省,CONSUME,1.0,,39.92458568004822,124.1810699128019,ANDROID,,0
HXQB_CODE,100000.0,105.0,连云港市,上海贯展医疗器械有限公司,H,54.0,XCX,2.0,35.4,F,汉,5974.0,4.0,1.0,PARENTS,FRIENDS,2.0,70.0,江苏省,CONSUME,1.0,,31.82108143386129,120.00524309740683,ANDROID,,0
AWJ_CODE,100000.0,103.0,眉山市,洪雅洪泰公交有限责任公司,O,17.0,XCX,4.0,30.3,F,汉,186.0,4.0,1.0,MATE,SIBLING,1.0,90.431,四川省,CONSUME,1.0,,29.909834190684897,103.37264716559515,IOS,,0
LXJ_CODE,100000.0,103.0,眉山市,洪雅洪泰公交有限责任公司,O,17.0,XCX,4.0,30.3,F,汉,186.0,4.0,1.0,MATE,SIBLING,1.0,90.431,四川省,CONSUME,1.0,,29.909834190684897,103.37264716559515,IOS,,0
HXQB_CODE,100000.0,102.0,烟台市,无限度（北京）文化传播有限公司,R,17.0,XCX,4.0,43.6,M,汉,5292.0,2.0,1.0,MOTHER,COLLEAGUE,1.0,70.0,山东省,CONSUME,1.0,,39.96863362114936,116.5590000045234,IOS,,1
LXJ_CODE,100000.0,,梅州市,深圳市同益实业股份有限公司,C,24.0,XCX,3.0,33.8,M,汉,6394.0,4.0,1.0,MOTHER,SIBLING,1.0,87.708,广东省,CONSUME,1.0,,22.62264621310764,114.13602620442708,ANDROID,,0
LXJ_CODE,100000.0,,伊春市,吴宏达个人工作室,Z,90.0,APP,4.0,23.0,M,汉,2125.0,2.0,1.0,PARENTS,FRIENDS,2.0,97.15,黑龙江省,CONSUME,1.0,,46.88438150907968,129.5557711629137,ANDROID,,0
YXM_CODE,,,太原市,,,,,,,,,,,,,,,,山西省,,,,,,,,1
AWJ_CODE,100000.0,103.0,南京市,八一医院,Q,11.0,APP,4.0,34.6,M,汉,4341.0,3.0,1.0,FATHER,MATE,1.0,91.257,江苏省,CONSUME,1.0,,32.03638797426652,118.80808140022027,ANDROID,,1
AWJ_CODE,100000.0,307.0,湛江市,北京三快在线科技有限公司,G,13.0,APP,2.0,24.0,M,汉,2048.0,4.0,1.0,FATHER,FRIENDS,2.0,84.297,广东省,CONSUME,1.0,,20.5086579830116,110.3104628178058,ANDROID,,0
YXM_CODE,,,南平市,,,,,,,,,,,,,,,,福建省,,,,,,,,0
